Général;référence;Lamarck;Buffon;Lavoisier;Condorcet;Grands Moulins;Halle aux Farines;bat 7;Diapason;bat 10A;bat 11B;bat 14B;bat 1;bat 1+2+3+4+5;bat 1A+1B;bat 8;bat B;bat H;bat L;bat EREVE
TGBT;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;;;;;;;;;;;
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
distribution électrique;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;;;;;;;;;;;
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
distribution thermique;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;;;;;;;;;;;
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
terminaux chauffage;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;Neuf ou Bon état;Neuf ou Bon état;Mauvais état;Mauvais état;Neuf ou Bon état;Neuf ou Bon état;Etat moyen;Mauvais état;Neuf ou Bon état;Etat moyen;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;radiateurs à ailettes;radiateurs à ailettes;radiateurs à ailettes;radiateurs à ailettes;radiateurs à ailettes;radiateurs à ailettes;"Radiateurs acier à
robinets
thermostatiques + Radiateurs à ailettes à
robinets manuels";Radiateurs acier + radiateurs à ailettes équipés de robinets thermostatiques + CTA + Ventilo-convecteur + Tubes radiants gaz;radiateurs haute température fonctionnant par convection ( en cours de remplacement par radiateurs à rayonnement et robinet thermostatique;radiateurs aciers à robinets thermostatiques;"Radiateurs à ailettes à
robinets manuels";équipés de robinets;"Bâtiments anciens:
radiateurs aciers robinets de
fermeture d’origine
 parties rénovés :
à robinets
thermostatiques      ";"Radiateurs acier
Plancher chauffant
Ventilo-convecteur";CTA + radiateurs;radiateurs;radiateurs;radiateurs + planchers chauffants;radiateurs + planchers chauffants
terminaux climatisation;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;;;;;;;Neuf ou Bon état;;;;
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;;;;;;;;;Conforme;;;;
;descriptif sommaire;;;;;;;SO;SO;?;?;?;SO;SO;SO; CTA, cassettes, chambres froides;SO;Batteries froides CTA;SO;SO
terminaux éclairage;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;Etat moyen;Neuf ou Bon état;Etat moyen;Etat moyen;Neuf ou Bon état;Etat moyen;Etat moyen;Etat moyen;Neuf ou Bon état;Etat moyen;Etat moyen;Etat moyen;Etat moyen
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;Tubes T8;Tubes T8 + lampes fluocompactes + équipements scéniques;T8 à ballast ferro. + divers lampes et luminaires.;T8 à ballast ferro. + divers lampes et luminaires.;T8 à ballast ferro. + divers lampes et luminaires.;T8 à ballast ferro. + divers lampes et luminaires.;T8 à ballast ferro. + divers lampes et luminaires.;T8 à ballast ferro. + divers lampes et luminaires.;T5 à ballasts électro. + divers lampes et luminaires.;T8 + T5 + LEDs (circulations);T8 à ballast ferro. + divers lampes et luminaires.;T8 + T5 + LEDs;T8 à ballast ferro. + divers lampes et luminaires.
GTC/GTB;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;;;;;;;;;;;
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;;;;;;;;;;;;;
;descriptif sommaire;;;;;;;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO
centrales d'air;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;Etat moyen;Neuf ou Bon état;Etat moyen;Mauvais état;Neuf ou Bon état;Etat moyen;Etat moyen;Mauvais état;Neuf ou Bon état;Etat moyen;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;VMC + sorbonnes;naturelles+ caisson d'extraction;ventilation simple flux;VMC + sorbonnes;VMC + extracteurs;4 VMC + 3 CTA;VMC + naturelle + CTA;8 CTA + 8 VMC;"10 CTA, 15 VMC et 6
sorbonnes";VMC + naturelle + CTA;VMC + naturelle;VMC + naturelle + CTA;VMC + naturelle
réseaux ventilation;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;;;;;;;;;;;
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;;;;;;;;;;;;;
;descriptif sommaire;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
production ECS;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;Neuf ou Bon état;Neuf ou Bon état;Mauvais état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;;;;;;;Ballons électriques;echangeur à plaques;Ballons électriques;Ballons électriques;"Production centralisée
avec échangeur à
plaque + ballon
électrique (hors periodes de chauffage)";ballon électrique;chauffe eau électrique;2 ballons électriques;échangeurs à plaques + ballon électrique;ballons électriques;ballons électriques;ballons électriques;échangeurs à plaques + ballon électrique
distribution ECS;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;Neuf ou Bon état;;;Neuf ou Bon état;;;;Neuf ou Bon état;;;;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;;Conforme;;;Conforme;;;;Conforme;;;;Conforme
;descriptif sommaire;;;;;;;SO;?;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO;SO
conformité réglementaire / audits / diagnostics;accessibilité;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;ascensseurs (ts les 5ans);;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;SSI (périodicité selon catégorie ERP/IGH);;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;DPE;;;;;;;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI
;plomb;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;amiante (DTA);;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;contrôle électrique (annuel);;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;QAI (optionnel);;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;légionelle;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;disconecteurs PB;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;porte automatiques;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;groupe froid (annuel);;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;Audit Environnemental;;;;;;;?;?;?;?;?;?;?;?;?;?;?;?;?
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
